emoji,count,proportion
doge,4380,0.2100618675363292
笑哭,3775,0.18104647259124262
大哭,2168,0.10397582849743417
打call,1181,0.056639969306028486
吃瓜,1148,0.055057311399932855
星星眼,934,0.044794014675555126
微笑,690,0.03309193803654501
喜极而泣,515,0.024699055201189393
滑稽,477,0.022876600642655027
妙啊,442,0.021198024075583907
辣眼睛,419,0.020094959474365737
OK,387,0.018560260898757855
支持,384,0.018416382907294613
呲牙,355,0.01702556232314997
思考,313,0.01501127044266462
委屈,258,0.012373507265838569
大笑,248,0.011893913960961105
哦呼,209,0.010023500071938996
喜欢,153,0.0073377775646251975
拥抱,124,0.005946956980480552
无语,118,0.005659200997554074
傲娇,117,0.005611241667066328
惊讶,115,0.005515323006090835
疑惑,113,0.005419404345115343
墨镜,106,0.005083689031701117
鼓掌,106,0.005083689031701117
捂脸,93,0.004460217735360415
点赞,89,0.004268380413409429
歪嘴,85,0.004076543091458443
难过,79,0.0037887871085319647
爱心,69,0.003309193803654501
酸了,67,0.003213275142679008
生气,65,0.0031173564817035156
抠鼻,64,0.003069397151215769
跪了,63,0.0030214378207280225
捂眼,62,0.002973478490240276
惊喜,57,0.0027336818378015442
保佑,49,0.0023500071938995734
呆,48,0.0023020478634118266
偷笑,44,0.0021102105414608414
灵魂出窍,44,0.0021102105414608414
阴险,42,0.0020142918804853483
抱拳,39,0.0018704138890221092
笑,39,0.0018704138890221092
奋斗,39,0.0018704138890221092
胜利,38,0.001822454558534363
尴尬,36,0.00172653589755887
害羞,33,0.001582657906095631
调皮,30,0.0014387799146323918
翻白眼,30,0.0014387799146323918
嫌弃,27,0.0012949019231691527
囧,24,0.0011510239317059133
加油,22,0.0010551052707304207
响指,20,0.0009591866097549279
抓狂,19,0.0009112272792671815
干杯,18,0.000863267948779435
鸡腿,17,0.0008153086182916886
生病,16,0.0007673492878039422
口罩,15,0.0007193899573161959
冷,15,0.0007193899573161959
再见,15,0.0007193899573161959
疼,14,0.0006714306268284495
撇嘴,14,0.0006714306268284495
怪我咯,14,0.0006714306268284495
哈欠,12,0.0005755119658529567
嘘声,11,0.0005275526353652103
黑洞,11,0.0005275526353652103
奸笑,7,0.00033571531341422474
视频卫星,6,0.00028775598292647833
老鼠,4,0.00019183732195098555
2020,3,0.00014387799146323916
福到了,3,0.00014387799146323916
吓,2,9.591866097549278e-05
吐,1,4.795933048774639e-05
高兴,1,4.795933048774639e-05
耍帅,1,4.795933048774639e-05
